samples,acc,prec,rec,fpr,buckets
0,1.0,0.0,0.0,0.0,2.0
10,0.55,0.0,0.0,0.0,2.0
30,0.575,0.0,0.0,0.0,2.0
70,0.575,0.0,0.0,0.0,2.0
150,0.65625,0.0,0.0,0.0,2.0
310,0.6375,0.0,0.0,0.0,2.0
630,0.6578125,0.0,0.0,0.0,2.0
1270,0.632,0.0,0.0,0.0,2.0
2270,0.652,0.0,0.0,0.0,2.0
3270,0.655,0.0,0.0,0.0,2.0
4270,0.651,0.0,0.0,0.0,2.0
5270,0.652,0.0,0.0,0.0,2.0
6270,0.642,0.0,0.0,0.0,2.0
7270,0.633,0.0,0.0,0.0,2.0
8270,0.654,0.0,0.0,0.0,2.0
9270,0.644,0.0,0.0,0.0,2.0
10270,0.52,0.0,0.0,0.0,2.0
11270,0.348,0.0,0.0,0.0,2.0
12270,0.362,0.0,0.0,0.0,2.0
13270,0.38,0.0,0.0,0.0,2.0
14270,0.368,0.0,0.0,0.0,2.0
15270,0.347,0.0,0.0,0.0,2.0
16270,0.351,0.0,0.0,0.0,2.0
17270,0.362,0.0,0.0,0.0,2.0
18270,0.373,0.0,0.0,0.0,2.0
19270,0.384,0.0,0.0,0.0,2.0
20270,0.361,0.0,0.0,0.0,2.0
21270,0.348,0.0,0.0,0.0,2.0
22270,0.355,0.0,0.0,0.0,2.0
23270,0.389,0.0,0.0,0.0,2.0
24270,0.372,0.0,0.0,0.0,2.0
25270,0.363,0.0,0.0,0.0,2.0
26270,0.346,0.0,0.0,0.0,2.0
27270,0.398,0.0,0.0,0.0,2.0
28270,0.387,0.0,0.0,0.0,2.0
29270,0.359,0.0,0.0,0.0,2.0
30270,0.348,0.0,0.0,0.0,2.0
31270,0.347,0.0,0.0,0.0,2.0
32270,0.369,0.0,0.0,0.0,2.0
33270,0.394,0.0,0.0,0.0,2.0
34270,0.355,0.0,0.0,0.0,2.0
35270,0.38,0.0,0.0,0.0,2.0
36270,0.352,0.0,0.0,0.0,2.0
37270,0.357,0.0,0.0,0.0,2.0
38270,0.358,0.0,0.0,0.0,2.0
39270,0.38,0.0,0.0,0.0,2.0
40270,0.371,0.0,0.0,0.0,2.0
41270,0.369,0.0,0.0,0.0,2.0
42270,0.386,0.0,0.0,0.0,2.0
43270,0.354,0.0,0.0,0.0,2.0
44270,0.375,0.0,0.0,0.0,2.0
45270,0.379,0.0,0.0,0.0,2.0
46270,0.352,0.0,0.0,0.0,2.0
47270,0.36,0.0,0.0,0.0,2.0
48270,0.381,0.0,0.0,0.0,2.0
49270,0.358,0.0,0.0,0.0,2.0
50270,0.376,0.0,0.0,0.0,2.0
51270,0.377,0.0,0.0,0.0,2.0
52270,0.341,0.0,0.0,0.0,2.0
53270,0.383,0.0,0.0,0.0,2.0
54270,0.367,0.0,0.0,0.0,2.0
55270,0.331,0.0,0.0,0.0,2.0
56270,0.376,0.0,0.0,0.0,2.0
57270,0.371,0.0,0.0,0.0,2.0
58270,0.377,0.0,0.0,0.0,2.0
59270,0.351,0.0,0.0,0.0,2.0
60270,0.38,0.0,0.0,0.0,2.0
61270,0.376,0.0,0.0,0.0,2.0
62270,0.305,0.0,0.0,0.0,2.0
63270,0.169,0.0,0.0,0.0,2.0
64270,0.146,0.0,0.0,0.0,2.0
65270,0.178,0.0,0.0,0.0,2.0
66270,0.243,0.0,0.0,0.0,2.0
67270,0.235,0.0,0.0,0.0,2.0
68270,0.197,0.0,0.0,0.0,2.0
69270,0.281,0.0,0.0,0.0,2.0
70270,0.198,0.0,0.0,0.0,2.0
71270,0.203,0.0,0.0,0.0,2.0
72270,0.324,0.0,0.0,0.0,2.0
73270,0.297,0.0,0.0,0.0,2.0
74270,0.317,0.0,0.0,0.0,2.0
75270,0.255,0.0,0.0,0.0,2.0
76270,0.318,0.0,0.0,0.0,2.0
77270,0.393,0.0,0.0,0.0,2.0
78270,0.314,0.0,0.0,0.0,2.0
79270,0.42,0.0,0.0,0.0,2.0
80270,0.444,0.0,0.0,0.0,2.0
81270,0.502,0.0,0.0,0.0,2.0
82270,0.455,0.0,0.0,0.0,2.0
83270,0.569,0.0,0.0,0.0,2.0
84270,0.513,0.0,0.0,0.0,2.0
85270,0.601,0.0,0.0,0.0,2.0
86270,0.603,0.0,0.0,0.0,2.0
87270,0.783,0.0,0.0,0.0,2.0
88270,0.948,0.0,0.0,0.0,2.0
89270,0.857,0.0,0.0,0.0,2.0
90270,0.853,0.0,0.0,0.0,2.0
91270,0.809,0.0,0.0,0.0,2.0
92270,0.858,0.0,0.0,0.0,2.0
93270,0.788,0.0,0.0,0.0,2.0
94270,0.606,0.0,0.0,0.0,2.0
