samples,acc,prec,rec,fpr,ngrams
0,1.0,0.0,0.0,0.0,1.0
10,0.55,0.0,0.0,0.0,1.0
30,0.825,1.0,0.5882352941176471,0.0,1.0
70,0.775,1.0,0.47058823529411764,0.0,1.0
150,0.7625,1.0,0.3090909090909091,0.0,1.0
310,0.79375,1.0,0.43103448275862066,0.0,1.0
630,0.853125,1.0,0.5707762557077626,0.0,1.0
1270,0.799,1.0,0.453804347826087,0.0,1.0
2270,0.828,1.0,0.5057471264367817,0.0,1.0
3270,0.848,1.0,0.5594202898550724,0.0,1.0
4270,0.864,1.0,0.6103151862464183,0.0,1.0
5270,0.871,1.0,0.6293103448275862,0.0,1.0
6270,0.862,1.0,0.6145251396648045,0.0,1.0
7270,0.864,1.0,0.6294277929155313,0.0,1.0
8270,0.882,1.0,0.6589595375722543,0.0,1.0
9270,0.873,1.0,0.6432584269662921,0.0,1.0
10270,0.676,1.0,0.325,0.0,1.0
11270,0.518,1.0,0.2607361963190184,0.0,1.0
12270,0.649,1.0,0.4498432601880878,0.0,1.0
13270,0.702,0.9938650306748467,0.5225806451612903,0.005263157894736842,1.0
14270,0.746,1.0,0.5981012658227848,0.0,1.0
15270,0.79,1.0,0.678407350689127,0.0,1.0
16270,0.817,0.9978632478632479,0.7195685670261941,0.002849002849002849,1.0
17270,0.859,1.0,0.7789968652037618,0.0,1.0
18270,0.856,0.9958932238193019,0.773524720893142,0.005361930294906166,1.0
19270,0.889,0.9960707269155207,0.823051948051948,0.005208333333333333,1.0
20270,0.881,0.9924242424242424,0.8200312989045383,0.0110803324099723,1.0
21270,0.892,0.9963503649635036,0.8374233128834356,0.005747126436781609,1.0
22270,0.931,0.996551724137931,0.896124031007752,0.005633802816901409,1.0
23270,0.911,1.0,0.8543371522094927,0.0,1.0
24270,0.933,0.9947089947089947,0.8980891719745223,0.008064516129032258,1.0
25270,0.937,0.993127147766323,0.9073783359497645,0.011019283746556474,1.0
26270,0.926,0.9931972789115646,0.8929663608562691,0.011560693641618497,1.0
27270,0.943,0.9927667269439421,0.9119601328903655,0.010050251256281407,1.0
28270,0.952,0.9964850615114236,0.9249592169657422,0.00516795865633075,1.0
29270,0.946,1.0,0.9157566302652106,0.0,1.0
30270,0.954,0.9918831168831169,0.9371165644171779,0.014367816091954023,1.0
31270,0.955,0.9919093851132686,0.9387442572741195,0.01440922190201729,1.0
32270,0.936,0.9913344887348353,0.9064976228209192,0.013550135501355014,1.0
33270,0.943,0.9910554561717353,0.9141914191419142,0.012690355329949238,1.0
34270,0.949,0.9917218543046358,0.9286821705426357,0.014084507042253521,1.0
35270,0.948,0.9947735191637631,0.9209677419354839,0.007894736842105263,1.0
36270,0.946,0.9868852459016394,0.9290123456790124,0.022727272727272728,1.0
37270,0.954,0.9869494290375204,0.9409020217729394,0.022408963585434174,1.0
38270,0.938,0.9849498327759197,0.9174454828660437,0.025139664804469275,1.0
39270,0.942,0.9895470383275261,0.9161290322580645,0.015789473684210527,1.0
40270,0.968,0.9933884297520661,0.9554848966613673,0.01078167115902965,1.0
41270,0.955,0.9850993377483444,0.9429477020602218,0.024390243902439025,1.0
42270,0.951,0.9812606473594548,0.9381107491856677,0.02849740932642487,1.0
43270,0.957,0.9902439024390244,0.9427244582043344,0.01694915254237288,1.0
44270,0.952,0.9898132427843803,0.9328,0.016,1.0
45270,0.956,0.9800332778702163,0.9484702093397746,0.0316622691292876,1.0
46270,0.94,0.9711538461538461,0.9351851851851852,0.05113636363636364,1.0
47270,0.956,0.9853420195439739,0.9453125,0.025,1.0
48270,0.957,0.978405315614618,0.9515347334410339,0.03412073490813648,1.0
49270,0.949,0.9758454106280193,0.9439252336448598,0.04189944134078212,1.0
50270,0.952,0.9721311475409836,0.9503205128205128,0.04521276595744681,1.0
51270,0.942,0.9796264855687606,0.9261637239165329,0.03183023872679045,1.0
52270,0.952,0.985691573926868,0.9408194233687405,0.026392961876832845,1.0
53270,0.943,0.9697986577181208,0.9367909238249594,0.04699738903394256,1.0
54270,0.951,0.9802631578947368,0.9415481832543444,0.0326975476839237,1.0
55270,0.959,0.9860681114551083,0.9521674140508222,0.027190332326283987,1.0
56270,0.955,0.9692058346839546,0.9583333333333334,0.05053191489361702,1.0
57270,0.958,0.9835255354200988,0.9491255961844197,0.026954177897574125,1.0
58270,0.955,0.9784768211920529,0.9486356340288925,0.034482758620689655,1.0
59270,0.955,0.9839743589743589,0.9460708782742681,0.02849002849002849,1.0
60270,0.948,0.9701986754966887,0.9451612903225807,0.04736842105263158,1.0
61270,0.951,0.9799666110183639,0.9407051282051282,0.031914893617021274,1.0
62270,0.901,0.9745222929936306,0.8805755395683453,0.05245901639344262,1.0
63270,0.86,0.9700680272108844,0.8580024067388689,0.1301775147928994,1.0
64270,0.876,0.9892761394101877,0.8641686182669789,0.0547945205479452,1.0
65270,0.912,0.9841688654353562,0.9075425790754258,0.06741573033707865,1.0
66270,0.922,0.9669876203576341,0.9286657859973579,0.09876543209876543,1.0
67270,0.92,0.9465449804432855,0.9490196078431372,0.17446808510638298,1.0
68270,0.894,0.9579500657030223,0.9078455790784558,0.16243654822335024,1.0
69270,0.913,0.9352617079889807,0.9443671766342142,0.16725978647686832,1.0
70270,0.93,0.9656488549618321,0.9463840399002493,0.13636363636363635,1.0
71270,0.871,0.9477211796246648,0.8870765370138017,0.1921182266009852,1.0
72270,0.895,0.9345509893455098,0.908284023668639,0.13271604938271606,1.0
73270,0.898,0.9505247376311844,0.9018492176386913,0.1111111111111111,1.0
74270,0.877,0.926829268292683,0.890190336749634,0.15141955835962145,1.0
75270,0.906,0.9489655172413793,0.9234899328859061,0.1450980392156863,1.0
76270,0.876,0.9471153846153846,0.8665689149560117,0.10377358490566038,1.0
77270,0.908,0.922824302134647,0.9258649093904449,0.11959287531806616,1.0
78270,0.893,0.9544740973312402,0.8862973760932945,0.09235668789808917,1.0
79270,0.89,0.9166666666666666,0.8913793103448275,0.11190476190476191,1.0
80270,0.882,0.8938848920863309,0.8938848920863309,0.13288288288288289,1.0
81270,0.899,0.9042769857433809,0.891566265060241,0.09362549800796813,1.0
82270,0.936,0.9461966604823747,0.9357798165137615,0.06373626373626373,1.0
83270,0.904,0.8798185941043084,0.9002320185614849,0.09314586994727592,1.0
84270,0.911,0.9344978165938864,0.8788501026694046,0.05847953216374269,1.0
85270,0.907,0.8903061224489796,0.87468671679198,0.07154742096505824,1.0
86270,0.905,0.8932291666666666,0.8639798488664987,0.06799336650082918,1.0
87270,0.918,0.7732793522267206,0.880184331797235,0.07151979565772669,1.0
88270,0.907,0.3435114503816794,0.8653846153846154,0.09071729957805907,1.0
89270,0.895,0.589622641509434,0.8741258741258742,0.10151691948658109,1.0
90270,0.935,0.7808219178082192,0.7755102040816326,0.03751465416178194,1.0
91270,0.931,0.7932692307692307,0.8638743455497382,0.05315203955500618,1.0
92270,0.929,0.738255033557047,0.7746478873239436,0.045454545454545456,1.0
93270,0.922,0.8073394495412844,0.8301886792452831,0.0532994923857868,1.0
94270,0.883,0.9261538461538461,0.7639593908629442,0.039603960396039604,1.0
95270,0.934,0.8405797101449275,0.725,0.02619047619047619,1.0
96270,0.885,0.930921052631579,0.7506631299734748,0.033707865168539325,1.0
97270,0.861,0.9831730769230769,0.756007393715342,0.015250544662309368,1.0
98270,0.913,0.9448275862068966,0.7942028985507247,0.024427480916030534,1.0
99270,0.859,0.9196428571428571,0.7969052224371374,0.07453416149068323,1.0
100270,0.943,0.9629629629629629,0.8739495798319328,0.01866251944012442,1.0
101270,0.932,0.9068825910931174,0.8327137546468402,0.03146374829001368,1.0
102270,0.9,0.9491094147582697,0.8233995584988962,0.03656307129798903,1.0
103270,0.949,0.9162303664921466,0.8333333333333334,0.020253164556962026,1.0
104270,0.888,0.8108108108108109,0.5882352941176471,0.035175879396984924,1.0
105270,0.937,0.9098712446351931,0.8346456692913385,0.028150134048257374,1.0
106270,0.827,0.9651639344262295,0.7511961722488039,0.045576407506702415,1.0
107270,0.937,0.9479166666666666,0.610738255033557,0.005875440658049354,1.0
108270,0.935,0.879746835443038,0.7513513513513513,0.023312883435582823,1.0
109270,0.897,0.9889867841409692,0.8208409506398537,0.011037527593818985,1.0
110270,0.906,0.9691516709511568,0.8213507625272332,0.022181146025878003,1.0
111270,0.89,0.9915254237288136,0.8153310104529616,0.009389671361502348,1.0
112270,0.896,0.985981308411215,0.8115384615384615,0.0125,1.0
113270,0.879,0.9705882352941176,0.7841584158415842,0.024242424242424242,1.0
114270,0.895,0.9675324675324676,0.7582697201017812,0.016474464579901153,1.0
115270,0.852,0.9863945578231292,0.7538994800693241,0.014184397163120567,1.0
116270,0.9,0.9833887043189369,0.7570332480818415,0.008210180623973728,1.0
117270,0.897,0.9750566893424036,0.8237547892720306,0.02301255230125523,1.0
118270,0.915,0.9874213836477987,0.8563636363636363,0.013333333333333334,1.0
119270,0.937,0.9830508474576272,0.8333333333333334,0.007668711656441718,1.0
120270,0.938,0.9750692520775623,0.8691358024691358,0.015126050420168067,1.0
121270,0.919,0.9784366576819407,0.8325688073394495,0.014184397163120567,1.0
122270,0.921,0.9746835443037974,0.7598684210526315,0.008620689655172414,1.0
123270,0.885,0.989517819706499,0.8109965635738832,0.011961722488038277,1.0
124270,0.916,0.9841269841269841,0.7969151670951157,0.008183306055646482,1.0
125270,0.877,0.9956989247311828,0.7928082191780822,0.004807692307692308,1.0
126270,0.873,0.992831541218638,0.6890547263681592,0.0033444816053511705,1.0
127270,0.929,0.9768339768339769,0.7955974842767296,0.008797653958944282,1.0
128270,0.94,0.994475138121547,0.861244019138756,0.003436426116838488,1.0
129270,0.93,0.9808306709265175,0.8274932614555256,0.009538950715421303,1.0
130270,0.868,0.9964285714285714,0.811046511627907,0.00641025641025641,1.0
131270,0.886,0.9983844911147012,0.8454172366621067,0.0037174721189591076,1.0
132270,0.875,0.9873015873015873,0.8416779431664412,0.03065134099616858,1.0
133270,0.854,0.9966722129783694,0.8061911170928667,0.007782101167315175,1.0
134270,0.873,0.9980119284294234,0.7993630573248408,0.002688172043010753,1.0
135270,0.873,0.9968701095461658,0.8359580052493438,0.008403361344537815,1.0
