samples,acc,prec,rec,threshold
0,1.0,0.0,0.0,0.0
10,0.55,0.0,0.0,0.0
30,0.425,0.425,1.0,0.0
70,0.425,0.425,1.0,0.0
150,0.34375,0.34375,1.0,0.0
310,0.365625,0.36363636363636365,1.0,0.0
630,0.3515625,0.34542586750788645,1.0,0.0
1270,0.382,0.37322515212981744,1.0,0.0
2270,0.373,0.3569230769230769,1.0,0.0
3270,0.359,0.3489795918367347,0.991304347826087,0.0
4270,0.366,0.3550356052899288,1.0,0.0
5270,0.377,0.3583934088568486,1.0,0.0
6270,0.391,0.3702171664943123,1.0,0.0
7270,0.398,0.37874097007223945,1.0,0.0
8270,0.386,0.36041666666666666,1.0,0.0
9270,0.396,0.37083333333333335,1.0,0.0
10270,0.5,0.4897959183673469,1.0,0.0
11270,0.654,0.6533066132264529,1.0,0.0
12270,0.64,0.6392785571142284,1.0,0.0
13270,0.626,0.6237424547283702,1.0,0.0
14270,0.634,0.6332665330661322,1.0,0.0
15270,0.655,0.654308617234469,1.0,0.0
16270,0.653,0.6516064257028112,1.0,0.0
17270,0.645,0.6424974823766365,1.0,0.0
18270,0.631,0.6295180722891566,1.0,0.0
19270,0.619,0.6178535606820461,1.0,0.0
20270,0.642,0.6409227683049148,1.0,0.0
21270,0.656,0.6546184738955824,1.0,0.0
22270,0.654,0.6508577194752775,1.0,0.0
23270,0.618,0.6153071500503524,1.0,0.0
24270,0.633,0.6311557788944724,1.0,0.0
25270,0.641,0.6395582329317269,1.0,0.0
26270,0.654,0.654,1.0,0.0
27270,0.609,0.6062437059415912,1.0,0.0
28270,0.62,0.6173212487411883,1.0,0.0
29270,0.646,0.6442211055276382,1.0,0.0
30270,0.655,0.6539618856569709,1.0,0.0
31270,0.657,0.6556224899598394,1.0,0.0
32270,0.636,0.6341708542713568,1.0,0.0
33270,0.612,0.6096579476861167,1.0,0.0
34270,0.65,0.6482412060301508,1.0,0.0
35270,0.623,0.6218655967903711,1.0,0.0
36270,0.652,0.6506024096385542,1.0,0.0
37270,0.645,0.6442885771543087,1.0,0.0
38270,0.649,0.6465256797583081,1.0,0.0
39270,0.626,0.6237424547283702,1.0,0.0
40270,0.638,0.6347124117053481,1.0,0.0
41270,0.636,0.6341708542713568,1.0,0.0
42270,0.62,0.6177062374245473,1.0,0.0
43270,0.653,0.6505538771399798,1.0,0.0
44270,0.627,0.62625250501002,1.0,0.0
45270,0.623,0.6222444889779559,1.0,0.0
46270,0.653,0.6512562814070352,1.0,0.0
47270,0.641,0.6406406406406406,1.0,0.0
48270,0.625,0.6227364185110664,1.0,0.0
49270,0.645,0.6439317953861585,1.0,0.0
50270,0.629,0.6271356783919598,1.0,0.0
51270,0.624,0.6236236236236237,1.0,0.0
52270,0.664,0.6623115577889447,1.0,0.0
53270,0.62,0.6188565697091274,1.0,0.0
54270,0.646,0.6413373860182371,1.0,0.0
55270,0.672,0.6710130391173521,1.0,0.0
56270,0.629,0.6271356783919598,1.0,0.0
57270,0.634,0.6321608040201006,1.0,0.0
58270,0.631,0.6280241935483871,1.0,0.0
59270,0.655,0.6529175050301811,1.0,0.0
60270,0.626,0.6237424547283702,1.0,0.0
61270,0.627,0.6258776328986961,1.0,0.0
62270,0.698,0.6970912738214644,1.0,0.0
63270,0.831,0.831,1.0,0.0
64270,0.854,0.854,1.0,0.0
65270,0.822,0.822,1.0,0.0
66270,0.757,0.757,1.0,0.0
67270,0.765,0.765,1.0,0.0
68270,0.806,0.8054162487462387,1.0,0.0
69270,0.723,0.7218875502008032,1.0,0.0
70270,0.806,0.8052208835341366,1.0,0.0
71270,0.8,0.7993981945837513,1.0,0.0
72270,0.679,0.6780341023069207,1.0,0.0
73270,0.712,0.7093844601412714,1.0,0.0
74270,0.69,0.6878147029204431,1.0,0.0
75270,0.748,0.7472417251755266,1.0,0.0
76270,0.689,0.6868076535750252,1.0,0.0
77270,0.614,0.6112789526686808,1.0,0.0
78270,0.691,0.6894472361809045,1.0,0.0
79270,0.583,0.5817452357071213,1.0,0.0
80270,0.565,0.5610494450050454,1.0,0.0
81270,0.506,0.5020161290322581,1.0,0.0
82270,0.565,0.5561224489795918,1.0,0.0
83270,0.445,0.43711967545638947,1.0,0.0
84270,0.498,0.4924165824064712,1.0,0.0
85270,0.416,0.4059003051881994,1.0,0.0
86270,0.415,0.40427698574338083,1.0,0.0
87270,0.229,0.21963562753036436,1.0,0.0
88270,0.078,0.053388090349075976,1.0,0.0
89270,0.165,0.14621676891615543,1.0,0.0
90270,0.181,0.15217391304347827,1.0,0.0
91270,0.232,0.1991657977059437,1.0,0.0
92270,0.176,0.14699792960662525,1.0,0.0
93270,0.249,0.2201453790238837,1.0,0.0
94270,0.409,0.4,1.0,0.0
95270,0.189,0.164778578784758,1.0,0.0
96270,0.406,0.388259526261586,1.0,0.0
97270,0.563,0.5531697341513292,1.0,0.0
98270,0.376,0.3560371517027864,1.0,0.0
99270,0.54,0.5291709314227226,1.0,0.0
100270,0.389,0.368801652892562,1.0,0.0
101270,0.308,0.27991675338189387,1.0,0.0
102270,0.497,0.47384937238493724,1.0,0.0
103270,0.244,0.21739130434782608,1.0,0.0
104270,0.243,0.21227887617065558,1.0,0.0
105270,0.306,0.2679324894514768,1.0,0.0
106270,0.662,0.649740932642487,1.0,0.0
107270,0.205,0.15783898305084745,1.0,0.0
108270,0.223,0.19230769230769232,1.0,0.0
109270,0.568,0.5587334014300307,1.0,0.0
110270,0.474,0.46598984771573604,1.0,0.0
111270,0.581,0.5780463242698892,1.0,0.0
112270,0.527,0.5236656596173213,1.0,0.0
113270,0.526,0.5158648925281474,0.998019801980198,0.0
114270,0.428,0.4072538860103627,1.0,0.0
115270,0.632,0.6105820105820106,1.0,0.0
116270,0.45,0.4155154091392136,1.0,0.0
117270,0.578,0.5529661016949152,1.0,0.0
118270,0.559,0.5549949545913219,1.0,0.0
119270,0.367,0.3547400611620795,1.0,0.0
120270,0.419,0.4107505070993915,1.0,0.0
121270,0.454,0.4439918533604888,1.0,0.0
122270,0.315,0.3069908814589666,0.9967105263157895,0.0
123270,0.585,0.5837512537612839,1.0,0.0
124270,0.399,0.3929292929292929,1.0,0.0
125270,0.589,0.5869346733668341,1.0,0.0
126270,0.412,0.40606060606060607,1.0,0.0
127270,0.328,0.3212121212121212,1.0,0.0
128270,0.453,0.43316062176165804,1.0,0.0
129270,0.382,0.3751263902932255,1.0,0.0
130270,0.7,0.6963562753036437,1.0,0.0
131270,0.741,0.7383838383838384,1.0,0.0
132270,0.757,0.7525458248472505,1.0,0.0
133270,0.757,0.7535496957403651,1.0,0.0
134270,0.657,0.646755921730175,1.0,0.0
135270,0.772,0.7696969696969697,1.0,0.0
136270,0.802,0.8016032064128257,1.0,0.0
137270,0.729,0.727364185110664,1.0,0.0
138270,0.755,0.7545090180360722,1.0,0.0
139270,0.805,0.803030303030303,1.0,0.0
140270,0.941,0.9405840886203424,1.0,0.0
141270,0.923,0.9224572004028198,1.0,0.0
142270,0.945,0.945,1.0,0.0
143270,0.925,0.925,1.0,0.0
144270,0.918,0.918,1.0,0.0
145270,0.889,0.8887775551102205,1.0,0.0
146270,0.918,0.9179179179179179,1.0,0.0
147270,0.921,0.921,1.0,0.0
148270,0.906,0.906,1.0,0.0
149270,0.953,0.953,1.0,0.0
150270,0.905,0.905,1.0,0.0
151270,0.937,0.9369369369369369,1.0,0.0
152270,0.913,0.913913913913914,0.9989059080962801,0.0
153270,0.872,0.8718718718718719,1.0,0.0
154270,0.829,0.8293172690763052,0.9987908101571947,0.0
155270,0.52,0.518555667001003,1.0,0.0
156270,0.612,0.6100502512562814,1.0,0.0
157270,0.648,0.648,1.0,0.0
158270,0.642,0.6412825651302605,1.0,0.0
159270,0.666,0.6656656656656657,1.0,0.0
160270,0.657,0.6566566566566566,1.0,0.0
161270,0.662,0.6606425702811245,1.0,0.0
162270,0.651,0.649949849548646,1.0,0.0
163270,0.669,0.669,1.0,0.0
164270,0.663,0.663,1.0,0.0
165270,0.635,0.6346346346346347,1.0,0.0
166270,0.671,0.671,1.0,0.0
167270,0.632,0.632,1.0,0.0
168270,0.658,0.657314629258517,1.0,0.0
169270,0.674,0.6717019133937563,1.0,0.0
170270,0.644,0.644,1.0,0.0
171270,0.669,0.669,1.0,0.0
