samples,acc,prec,rec
0,1.0,0.0,0.0
10,0.55,0.0,0.0
30,0.925,1.0,0.8235294117647058
70,0.825,1.0,0.5882352941176471
150,0.85625,1.0,0.5818181818181818
310,0.890625,1.0,0.6982758620689655
630,0.925,1.0,0.7808219178082192
1270,0.927,1.0,0.8016304347826086
2270,0.956,1.0,0.8735632183908046
3270,0.962,1.0,0.8898550724637682
4270,0.969,1.0,0.9111747851002865
5270,0.982,1.0,0.9482758620689655
6270,0.982,1.0,0.9497206703910615
7270,0.985,0.9971751412429378,0.9618528610354223
8270,0.981,1.0,0.9450867052023122
9270,0.985,1.0,0.9578651685393258
10270,0.803,0.9862542955326461,0.5979166666666667
11270,0.735,0.9974293059125964,0.5950920245398773
12270,0.788,0.9953488372093023,0.670846394984326
13270,0.826,0.9911894273127754,0.7258064516129032
14270,0.876,0.99609375,0.8069620253164557
15270,0.872,0.996219281663516,0.8070444104134763
16270,0.885,0.9981343283582089,0.8243451463790447
17270,0.911,0.9963833634719711,0.8636363636363636
18270,0.92,0.9963702359346642,0.8755980861244019
19270,0.93,0.9963636363636363,0.8896103896103896
20270,0.925,0.9895833333333334,0.892018779342723
21270,0.935,0.9949409780775716,0.9049079754601227
22270,0.945,0.9983108108108109,0.9162790697674419
23270,0.977,0.9983050847457627,0.9639934533551555
24270,0.977,0.9950900163666121,0.9681528662420382
25270,0.983,0.9936305732484076,0.9795918367346939
26270,0.982,0.9953271028037384,0.9770642201834863
27270,0.98,0.9965870307167235,0.9700996677740864
28270,0.984,0.9950248756218906,0.9787928221859706
29270,0.988,1.0,0.9812792511700468
30270,0.989,0.9953632148377125,0.9877300613496932
31270,0.98,0.9922239502332815,0.9770290964777948
32270,0.987,0.9936102236421726,0.9857369255150554
33270,0.99,0.9983277591973244,0.9851485148514851
34270,0.985,0.9968454258675079,0.9798449612403101
35270,0.984,0.9950819672131147,0.9790322580645161
36270,0.985,0.9922239502332815,0.9845679012345679
37270,0.992,0.9968701095461658,0.9906687402799378
38270,0.995,0.9968798751950078,0.9953271028037384
39270,0.993,0.9983739837398374,0.9903225806451613
40270,0.995,0.9968152866242038,0.9952305246422893
41270,0.991,0.9983974358974359,0.9873217115689382
42270,0.992,0.9983552631578947,0.988599348534202
43270,0.992,0.9984375,0.9891640866873065
44270,0.994,0.9952,0.9952
45270,0.997,0.9967845659163987,0.998389694041868
46270,0.988,0.9907407407407407,0.9907407407407407
47270,0.994,0.9968652037617555,0.99375
48270,0.993,0.9935483870967742,0.9951534733441034
