samples,acc,prec,rec,fpr
0,1.0,0.0,0.0,0.0
10,0.55,0.0,0.0,0.0
30,0.9,1.0,0.7647058823529411,0.0
70,0.825,1.0,0.5882352941176471,0.0
150,0.85,1.0,0.5636363636363636,0.0
310,0.8875,1.0,0.6896551724137931,0.0
630,0.9234375,1.0,0.776255707762557,0.0
1270,0.919,1.0,0.779891304347826,0.0
2270,0.95,1.0,0.8563218390804598,0.0
3270,0.951,1.0,0.8579710144927536,0.0
4270,0.959,1.0,0.8825214899713467,0.0
5270,0.973,1.0,0.9224137931034483,0.0
6270,0.974,1.0,0.9273743016759777,0.0
7270,0.98,0.997134670487106,0.9482288828337875,0.001579778830963665
8270,0.974,1.0,0.9248554913294798,0.0
9270,0.978,1.0,0.9382022471910112,0.0
10270,0.752,0.9957264957264957,0.48541666666666666,0.0019230769230769232
11270,0.651,0.9967213114754099,0.4662576687116564,0.0028735632183908046
12270,0.73,0.9946236559139785,0.5799373040752351,0.0055248618784530384
13270,0.772,0.99,0.6387096774193548,0.010526315789473684
14270,0.817,0.9955849889624724,0.7136075949367089,0.005434782608695652
15270,0.818,0.9916492693110647,0.7274119448698315,0.011527377521613832
16270,0.841,0.9979674796747967,0.7565485362095532,0.002849002849002849
17270,0.87,0.9941634241245136,0.8009404388714734,0.008287292817679558
18270,0.883,0.9961089494163424,0.8165869218500797,0.005361930294906166
19270,0.898,0.998062015503876,0.836038961038961,0.0026041666666666665
20270,0.898,0.9908592321755028,0.8482003129890454,0.013850415512465374
21270,0.903,0.9964221824686941,0.8542944785276073,0.005747126436781609
22270,0.922,0.9982425307557118,0.8806201550387597,0.0028169014084507044
23270,0.95,0.9964601769911504,0.9214402618657938,0.005141388174807198
24270,0.956,0.9982935153583617,0.9315286624203821,0.002688172043010753
25270,0.964,0.9950576606260296,0.9481946624803768,0.008264462809917356
26270,0.962,0.9935897435897436,0.9480122324159022,0.011560693641618497
27270,0.971,0.9948186528497409,0.9568106312292359,0.007537688442211055
28270,0.975,0.9966216216216216,0.9624796084828712,0.00516795865633075
29270,0.978,1.0,0.9656786271450858,0.0
30270,0.977,0.9937205651491365,0.9708588957055214,0.011494252873563218
31270,0.971,0.9936708860759493,0.9617151607963247,0.011527377521613832
32270,0.977,0.9935064935064936,0.9698890649762282,0.01084010840108401
33270,0.98,0.9966101694915255,0.9702970297029703,0.005076142131979695
34270,0.981,0.9968253968253968,0.9736434108527132,0.005633802816901409
35270,0.981,0.996694214876033,0.9725806451612903,0.005263157894736842
36270,0.972,0.9889589905362776,0.9675925925925926,0.019886363636363636
37270,0.987,0.9952830188679245,0.9844479004665629,0.008403361344537815
38270,0.983,0.9952456418383518,0.9781931464174455,0.008379888268156424
39270,0.99,0.9951298701298701,0.9887096774193549,0.007894736842105263
40270,0.986,0.9904306220095693,0.9872813990461049,0.016172506738544475
41270,0.989,0.9952076677316294,0.9873217115689382,0.008130081300813009
42270,0.991,0.9983525535420099,0.9869706840390879,0.0025906735751295338
43270,0.99,0.9984326018808778,0.9860681114551083,0.002824858757062147
44270,0.989,0.9935691318327974,0.9888,0.010666666666666666
45270,0.994,0.9967689822294022,0.9935587761674718,0.005277044854881266
46270,0.987,0.9892141756548536,0.9907407407407407,0.019886363636363636
47270,0.991,0.9984202211690363,0.9875,0.002777777777777778
48270,0.985,0.9870967741935484,0.9886914378029079,0.02099737532808399
49270,0.993,0.9968701095461658,0.9922118380062306,0.00558659217877095
50270,0.985,0.9872,0.9887820512820513,0.02127659574468085
51270,0.996,0.998389694041868,0.9951845906902087,0.002652519893899204
52270,0.991,0.9954268292682927,0.9908952959028832,0.008797653958944282
53270,0.984,0.9902120717781403,0.9837925445705025,0.015665796344647518
54270,0.989,0.9889937106918238,0.9936808846761453,0.01907356948228883
55270,0.993,0.9940298507462687,0.9955156950672646,0.012084592145015106
56270,0.987,0.9919484702093397,0.9871794871794872,0.013297872340425532
57270,0.993,0.9936507936507937,0.9952305246422893,0.01078167115902965
58270,0.987,0.9903536977491961,0.9887640449438202,0.015915119363395226
59270,0.995,0.9953846153846154,0.9969183359013868,0.008547008547008548
60270,0.99,0.9887820512820513,0.9951612903225806,0.018421052631578946
61270,0.993,0.9951845906902087,0.9935897435897436,0.007978723404255319
62270,0.967,0.986764705882353,0.9654676258992806,0.029508196721311476
63270,0.976,0.9855595667870036,0.9855595667870036,0.07100591715976332
64270,0.973,0.9963985594237695,0.9718969555035128,0.02054794520547945
65270,0.967,0.9888475836431226,0.9708029197080292,0.05056179775280899
66270,0.977,0.9854497354497355,0.9841479524438573,0.04526748971193416
67270,0.966,0.9802890932982917,0.9751633986928104,0.06382978723404255
68270,0.982,0.9887920298879203,0.9887920298879203,0.04568527918781726
69270,0.965,0.9723756906077348,0.9791376912378303,0.0711743772241993
70270,0.982,0.9912280701754386,0.986284289276808,0.03535353535353535
71270,0.976,0.9813200498132005,0.9887076537013801,0.07389162561576355
72270,0.964,0.969208211143695,0.977810650887574,0.06481481481481481
73270,0.969,0.9705882352941176,0.9857752489331437,0.0707070707070707
74270,0.95,0.9606986899563319,0.9663250366032211,0.08517350157728706
75270,0.962,0.9608865710560626,0.9892617449664429,0.11764705882352941
76270,0.963,0.9548660084626234,0.9926686217008798,0.10062893081761007
77270,0.932,0.9064856711915535,0.9901153212520593,0.15776081424936386
78270,0.952,0.9544159544159544,0.9766763848396501,0.10191082802547771
79270,0.954,0.9362745098039216,0.9879310344827587,0.09285714285714286
80270,0.96,0.9479166666666666,0.9820143884892086,0.06756756756756757
81270,0.961,0.9404990403071017,0.9839357429718876,0.061752988047808766
82270,0.966,0.9506172839506173,0.9889908256880734,0.06153846153846154
83270,0.956,0.9328859060402684,0.9675174013921114,0.05272407732864675
84270,0.973,0.9563492063492064,0.9897330595482546,0.042884990253411304
85270,0.96,0.9367396593673966,0.9649122807017544,0.04326123128119801
86270,0.976,0.9559902200488998,0.9848866498740554,0.029850746268656716
87270,0.953,0.8794642857142857,0.9078341013824884,0.034482758620689655
88270,0.92,0.34444444444444444,0.5961538461538461,0.06223628691983123
89270,0.93,0.7039106145251397,0.8811188811188811,0.061843640606767794
90270,0.955,0.8035714285714286,0.9183673469387755,0.038686987104337635
91270,0.956,0.8450704225352113,0.9424083769633508,0.0407911001236094
92270,0.963,0.8343949044585988,0.9225352112676056,0.030303030303030304
93270,0.951,0.8438818565400844,0.9433962264150944,0.046954314720812185
94270,0.967,0.941320293398533,0.9771573604060914,0.039603960396039604
95270,0.964,0.848314606741573,0.94375,0.03214285714285714
96270,0.95,0.936,0.9310344827586207,0.038523274478330656
97270,0.939,0.9428044280442804,0.944547134935305,0.06753812636165578
98270,0.945,0.8961748633879781,0.9507246376811594,0.05801526717557252
99270,0.912,0.9333333333333333,0.8936170212765957,0.06832298136645963
100270,0.963,0.949438202247191,0.9467787114845938,0.027993779160186624
101270,0.922,0.8398576512455516,0.8773234200743495,0.06155950752393981
102270,0.932,0.9069767441860465,0.9470198675496688,0.08043875685557587
103270,0.948,0.8376068376068376,0.9333333333333333,0.04810126582278481
104270,0.922,0.7625,0.8970588235294118,0.07160804020100503
105270,0.931,0.8363636363636363,0.905511811023622,0.06032171581769437
106270,0.92,0.9550748752079867,0.9154704944178629,0.07238605898123325
107270,0.924,0.6972972972972973,0.8657718120805369,0.06580493537015276
108270,0.944,0.7945205479452054,0.9405405405405406,0.05521472392638037
109270,0.914,0.9546351084812623,0.8848263254113345,0.05077262693156733
110270,0.929,0.9254385964912281,0.9193899782135077,0.06284658040665435
111270,0.892,0.946360153256705,0.8606271777003485,0.06572769953051644
112270,0.908,0.9212598425196851,0.9,0.08333333333333333
113270,0.927,0.937246963562753,0.9168316831683169,0.06262626262626263
114270,0.896,0.8937329700272479,0.8346055979643766,0.0642504118616145
115270,0.91,0.9517625231910947,0.8890814558058926,0.061465721040189124
116270,0.901,0.8705583756345178,0.8772378516624041,0.08374384236453201
117270,0.93,0.9329501915708812,0.9329501915708812,0.07322175732217573
118270,0.942,0.9730769230769231,0.92,0.03111111111111111
119270,0.933,0.9120234604105572,0.8936781609195402,0.046012269938650305
120270,0.931,0.9397905759162304,0.8864197530864197,0.03865546218487395
121270,0.938,0.9495192307692307,0.9059633027522935,0.03723404255319149
122270,0.928,0.9202898550724637,0.8355263157894737,0.031609195402298854
