samples,acc,prec,rec,fpr
0,0.2,0.0,0.0,0.8
10,0.5,0.3333333333333333,0.1111111111111111,0.18181818181818182
30,0.6,0.5172413793103449,0.8823529411764706,0.6086956521739131
70,0.8,0.9090909090909091,0.5882352941176471,0.043478260869565216
150,0.8875,0.9743589743589743,0.6909090909090909,0.009523809523809525
310,0.93125,0.8852459016393442,0.9310344827586207,0.06862745098039216
630,0.9265625,0.8583333333333333,0.9406392694063926,0.08076009501187649
1270,0.96,0.9385026737967914,0.9538043478260869,0.03639240506329114
2270,0.956,0.9245810055865922,0.9511494252873564,0.04141104294478527
3270,0.938,0.8582278481012658,0.9826086956521739,0.08549618320610687
4270,0.966,0.926829268292683,0.9799426934097422,0.041474654377880185
5270,0.95,0.9933774834437086,0.8620689655172413,0.003067484662576687
6270,0.981,0.9774647887323944,0.9692737430167597,0.012461059190031152
7270,0.972,0.9357326478149101,0.9918256130790191,0.03949447077409163
8270,0.982,0.9581005586592178,0.9913294797687862,0.022935779816513763
9270,0.994,0.9861111111111112,0.9971910112359551,0.007763975155279503
10270,0.832,0.8362068965517241,0.8083333333333333,0.14615384615384616
11270,0.894,0.9627118644067797,0.8711656441717791,0.06321839080459771
12270,0.95,0.9757281553398058,0.945141065830721,0.04143646408839779
13270,0.956,0.9630225080385852,0.9661290322580646,0.060526315789473685
14270,0.942,0.9296407185628742,0.9825949367088608,0.12771739130434784
15270,0.965,0.9813084112149533,0.9647779479326187,0.0345821325648415
16270,0.971,0.9769230769230769,0.9784283513097073,0.042735042735042736
17270,0.969,0.9764521193092621,0.9749216300940439,0.04143646408839779
18270,0.97,0.9656786271450858,0.9872408293460925,0.058981233243967826
19270,0.96,0.9752475247524752,0.9594155844155844,0.0390625
20270,0.967,0.9704968944099379,0.9780907668231612,0.05263157894736842
21270,0.977,0.9831029185867896,0.9815950920245399,0.031609195402298854
22270,0.978,0.9905511811023622,0.9751937984496124,0.016901408450704224
23270,0.98,0.9820554649265906,0.9852700490998363,0.028277634961439587
24270,0.97,0.9671875,0.9856687898089171,0.056451612903225805
25270,0.98,0.9936,0.9748822605965463,0.011019283746556474
26270,0.98,0.9847094801223242,0.9847094801223242,0.028901734104046242
27270,0.977,0.9707317073170731,0.9916943521594684,0.04522613065326633
28270,0.969,0.9817880794701986,0.967373572593801,0.028423772609819122
29270,0.98,0.9952153110047847,0.9734789391575663,0.008356545961002786
30270,0.982,0.9774096385542169,0.995398773006135,0.04310344827586207
31270,0.976,0.9875968992248062,0.9754977029096478,0.023054755043227664
32270,0.986,0.9858267716535433,0.9920760697305864,0.024390243902439025
33270,0.981,0.9803600654664485,0.9884488448844885,0.030456852791878174
34270,0.994,0.9968895800933126,0.993798449612403,0.005633802816901409
35270,0.986,0.9887096774193549,0.9887096774193549,0.018421052631578946
36270,0.977,0.9829984544049459,0.9814814814814815,0.03125
37270,0.978,0.9936406995230525,0.9720062208398134,0.011204481792717087
38270,0.98,0.9799382716049383,0.9890965732087228,0.036312849162011177
39270,0.978,0.9869706840390879,0.9774193548387097,0.021052631578947368
40270,0.984,0.9826771653543307,0.9920508744038156,0.029649595687331536
41270,0.983,0.9919871794871795,0.9809825673534073,0.013550135501355014
42270,0.987,0.996694214876033,0.9820846905537459,0.0051813471502590676
43270,0.986,0.9891640866873065,0.9891640866873065,0.01977401129943503
44270,0.981,0.9764150943396226,0.9936,0.04
45270,0.992,0.9967585089141004,0.9903381642512077,0.005277044854881266
46270,0.98,0.9845679012345679,0.9845679012345679,0.028409090909090908
47270,0.981,0.9968,0.9734375,0.005555555555555556
48270,0.986,0.985553772070626,0.9919224555735057,0.023622047244094488
49270,0.99,0.99375,0.9906542056074766,0.0111731843575419
50270,0.985,0.9825673534072901,0.9935897435897436,0.02925531914893617
51270,0.983,0.9794303797468354,0.9935794542536116,0.034482758620689655
