samples,acc,prec,rec,fpr
0,0.3,0.0,0.0,0.7
10,0.5,0.0,0.0,0.09090909090909091
30,0.725,0.6363636363636364,0.8235294117647058,0.34782608695652173
70,0.8125,0.7714285714285715,0.7941176470588235,0.17391304347826086
150,0.8875,0.8245614035087719,0.8545454545454545,0.09523809523809523
310,0.934375,0.905982905982906,0.9137931034482759,0.05392156862745098
630,0.9390625,0.8947368421052632,0.9315068493150684,0.057007125890736345
1270,0.948,0.93646408839779,0.9211956521739131,0.03639240506329114
2270,0.966,0.9511494252873564,0.9511494252873564,0.02607361963190184
3270,0.974,0.9570200573065902,0.9681159420289855,0.022900763358778626
4270,0.965,0.9266304347826086,0.9770773638968482,0.041474654377880185
5270,0.975,0.9792284866468842,0.9482758620689655,0.010736196319018405
6270,0.987,0.994269340974212,0.9692737430167597,0.003115264797507788
7270,0.965,0.9213197969543148,0.989100817438692,0.04897314375987362
8270,0.977,0.9654178674351584,0.9682080924855492,0.01834862385321101
9270,0.985,0.9775910364145658,0.9803370786516854,0.012422360248447204
10270,0.832,0.8291139240506329,0.81875,0.15576923076923077
11270,0.901,0.9540229885057471,0.8911042944785276,0.08045977011494253
12270,0.923,0.943127962085308,0.9357366771159875,0.09944751381215469
13270,0.928,0.9433656957928802,0.9403225806451613,0.09210526315789473
14270,0.934,0.9314024390243902,0.9667721518987342,0.12228260869565218
15270,0.962,0.9752704791344667,0.9663093415007658,0.04610951008645533
16270,0.955,0.9748427672955975,0.9553158705701078,0.045584045584045586
17270,0.956,0.9714285714285714,0.9592476489028213,0.049723756906077346
18270,0.96,0.9593114241001565,0.9776714513556619,0.06970509383378017
19270,0.967,0.9834162520729685,0.9626623376623377,0.026041666666666668
20270,0.957,0.9760383386581469,0.9561815336463224,0.04155124653739612
21270,0.966,0.9768518518518519,0.9708588957055214,0.04310344827586207
22270,0.984,0.9906396255850234,0.9844961240310077,0.016901408450704224
23270,0.975,0.9850993377483444,0.9738134206219312,0.02313624678663239
24270,0.964,0.9743589743589743,0.9681528662420382,0.043010752688172046
25270,0.98,0.9889064976228209,0.9795918367346939,0.01928374655647383
26270,0.977,0.9891472868217054,0.9755351681957186,0.02023121387283237
27270,0.97,0.971947194719472,0.978405315614618,0.04271356783919598
28270,0.966,0.9849246231155779,0.9592169657422512,0.023255813953488372
29270,0.976,0.9889064976228209,0.9734789391575663,0.019498607242339833
30270,0.971,0.967016491754123,0.9892638036809815,0.06321839080459771
