samples,acc,prec,rec,fpr,hashf
0,0.3,0.0,0.0,0.7,1.0
10,0.55,0.0,0.0,0.0,1.0
30,0.4,0.41025641025641024,0.9411764705882353,1.0,1.0
70,0.5875,1.0,0.029411764705882353,0.0,1.0
150,0.48125,0.38524590163934425,0.8545454545454545,0.7142857142857143,1.0
310,0.728125,0.5986394557823129,0.7586206896551724,0.28921568627450983,1.0
630,0.715625,0.569811320754717,0.6894977168949772,0.27078384798099764,1.0
1270,0.731,0.6896551724137931,0.4891304347826087,0.1281645569620253,1.0
2270,0.762,0.6858108108108109,0.5833333333333334,0.14263803680981596,1.0
3270,0.744,0.7908496732026143,0.3507246376811594,0.04885496183206107,1.0
4270,0.734,0.5981087470449172,0.7249283667621776,0.261136712749616,1.0
5270,0.755,0.6528189910979229,0.632183908045977,0.1794478527607362,1.0
6270,0.768,0.7266187050359713,0.5642458100558659,0.11838006230529595,1.0
7270,0.716,0.7943262411347518,0.30517711171662126,0.045813586097946286,1.0
8270,0.656,0.5016501650165016,0.8786127167630058,0.4617737003058104,1.0
9270,0.806,0.7004950495049505,0.7949438202247191,0.18788819875776397,1.0
10270,0.63,0.6909722222222222,0.41458333333333336,0.17115384615384616,1.0
11270,0.651,0.7563451776649747,0.6855828220858896,0.41379310344827586,1.0
12270,0.714,0.7528735632183908,0.8213166144200627,0.47513812154696133,1.0
13270,0.683,0.7083906464924347,0.8306451612903226,0.5578947368421052,1.0
14270,0.669,0.8195329087048833,0.6107594936708861,0.23097826086956522,1.0
15270,0.756,0.7950937950937951,0.8437978560490046,0.4092219020172911,1.0
16270,0.709,0.7071759259259259,0.9414483821263482,0.7207977207977208,1.0
17270,0.727,0.7307206068268015,0.9059561128526645,0.5883977900552486,1.0
18270,0.737,0.76,0.8484848484848485,0.450402144772118,1.0
19270,0.677,0.6644219977553311,0.961038961038961,0.7786458333333334,1.0
20270,0.716,0.718865598027127,0.9123630672926447,0.631578947368421,1.0
21270,0.721,0.715606936416185,0.9493865030674846,0.7068965517241379,1.0
22270,0.698,0.843687374749499,0.6527131782945736,0.21971830985915494,1.0
