samples,acc,prec,rec,fpr,lrate
0,0.7,0.0,0.0,0.3,0.001
10,0.4,0.36363636363636365,0.4444444444444444,0.6363636363636364,0.001
30,0.625,0.5555555555555556,0.5882352941176471,0.34782608695652173,0.001
70,0.45,0.391304347826087,0.5294117647058824,0.6086956521739131,0.001
150,0.49375,0.3375,0.4909090909090909,0.5047619047619047,0.001
310,0.55,0.4146341463414634,0.5862068965517241,0.47058823529411764,0.001
630,0.55625,0.391304347826087,0.5342465753424658,0.4323040380047506,0.001
1270,0.566,0.4232558139534884,0.4945652173913043,0.3924050632911392,0.001
2270,0.642,0.4875,0.5603448275862069,0.31441717791411045,0.001
3270,0.65,0.49382716049382713,0.5797101449275363,0.31297709923664124,0.001
4270,0.655,0.505,0.5787965616045845,0.30414746543778803,0.001
5270,0.682,0.5378787878787878,0.6120689655172413,0.28067484662576686,0.001
6270,0.664,0.5295698924731183,0.5502793296089385,0.27258566978193144,0.001
7270,0.699,0.5932203389830508,0.5722070844686649,0.22748815165876776,0.001
8270,0.699,0.5641025641025641,0.5722543352601156,0.23394495412844038,0.001
9270,0.74,0.6304347826086957,0.651685393258427,0.2111801242236025,0.001
10270,0.611,0.6112469437652812,0.5208333333333334,0.3057692307692308,0.001
11270,0.498,0.6794258373205742,0.43558282208588955,0.3850574712643678,0.001
12270,0.494,0.6404255319148936,0.4717868338557994,0.46685082872928174,0.001
13270,0.546,0.6653386454183267,0.5387096774193548,0.4421052631578947,0.001
14270,0.562,0.6924603174603174,0.5522151898734177,0.421195652173913,0.001
15270,0.598,0.7345794392523365,0.6018376722817764,0.4092219020172911,0.001
16270,0.573,0.7202380952380952,0.559322033898305,0.4017094017094017,0.001
17270,0.606,0.741106719367589,0.5877742946708464,0.36187845303867405,0.001
18270,0.58,0.6971428571428572,0.583732057416268,0.4262734584450402,0.001
19270,0.632,0.7322097378277154,0.6347402597402597,0.3723958333333333,0.001
20270,0.652,0.7521663778162911,0.6791862284820032,0.3961218836565097,0.001
21270,0.636,0.7696629213483146,0.6303680981595092,0.35344827586206895,0.001
22270,0.691,0.7906574394463668,0.7085271317829457,0.3408450704225352,0.001
23270,0.686,0.7775700934579439,0.6808510638297872,0.3059125964010283,0.001
24270,0.655,0.7625231910946196,0.6544585987261147,0.34408602150537637,0.001
25270,0.702,0.7858347386172007,0.7315541601255887,0.349862258953168,0.001
26270,0.708,0.8164335664335665,0.7140672782874617,0.30346820809248554,0.001
27270,0.697,0.7804878048780488,0.6910299003322259,0.29396984924623115,0.001
