samples,acc,prec,rec,fpr,ngrams
0,0.5,0.0,0.0,0.5,1.0
10,0.55,0.5,0.1111111111111111,0.09090909090909091,1.0
30,0.6,0.5172413793103449,0.8823529411764706,0.6086956521739131,1.0
70,0.8875,0.9310344827586207,0.7941176470588235,0.043478260869565216,1.0
150,0.9125,0.9555555555555556,0.7818181818181819,0.01904761904761905,1.0
310,0.925,0.9107142857142857,0.8793103448275862,0.049019607843137254,1.0
630,0.9046875,0.8062015503875969,0.9497716894977168,0.1187648456057007,1.0
1270,0.96,0.9432432432432433,0.9483695652173914,0.03322784810126582,1.0
2270,0.958,0.9636363636363636,0.9137931034482759,0.018404907975460124,1.0
3270,0.972,0.9731343283582089,0.9449275362318841,0.013740458015267175,1.0
4270,0.959,0.9031413612565445,0.9885386819484241,0.05683563748079877,1.0
5270,0.976,0.9792899408284024,0.9511494252873564,0.010736196319018405,1.0
6270,0.972,0.9940119760479041,0.9273743016759777,0.003115264797507788,1.0
7270,0.98,0.9626666666666667,0.9836512261580381,0.022116903633491312,1.0
8270,0.982,0.9767441860465116,0.9710982658959537,0.012232415902140673,1.0
9270,0.992,0.9860335195530726,0.9915730337078652,0.007763975155279503,1.0
10270,0.831,0.8273684210526315,0.81875,0.1576923076923077,1.0
11270,0.903,0.9663865546218487,0.8819018404907976,0.05747126436781609,1.0
12270,0.925,0.9433070866141732,0.9388714733542319,0.09944751381215469,1.0
13270,0.934,0.9511400651465798,0.9419354838709677,0.07894736842105263,1.0
14270,0.935,0.9409020217729394,0.9572784810126582,0.10326086956521739,1.0
15270,0.954,0.9705426356589147,0.9586523736600306,0.05475504322766571,1.0
16270,0.941,0.9804560260586319,0.9275808936825886,0.03418803418803419,1.0
17270,0.96,0.9731012658227848,0.9639498432601881,0.04696132596685083,1.0
18270,0.962,0.9742351046698873,0.9649122807017544,0.04289544235924933,1.0
19270,0.967,0.9786535303776683,0.9675324675324676,0.033854166666666664,1.0
20270,0.955,0.9837133550488599,0.945226917057903,0.027700831024930747,1.0
21270,0.957,0.9765258215962441,0.9570552147239264,0.04310344827586207,1.0
22270,0.974,0.9920508744038156,0.9674418604651163,0.014084507042253521,1.0
23270,0.973,0.974025974025974,0.9819967266775778,0.04113110539845758,1.0
24270,0.953,0.9738988580750407,0.9506369426751592,0.043010752688172046,1.0
25270,0.971,0.9779874213836478,0.9764521193092621,0.03856749311294766,1.0
26270,0.976,0.9876160990712074,0.9755351681957186,0.023121387283236993,1.0
27270,0.968,0.9765886287625418,0.9700996677740864,0.035175879396984924,1.0
28270,0.978,0.9900497512437811,0.9738988580750407,0.015503875968992248,1.0
29270,0.982,0.9968102073365231,0.9750390015600624,0.005571030640668524,1.0
30270,0.971,0.9656203288490284,0.99079754601227,0.06609195402298851,1.0
31270,0.972,0.9844961240310077,0.9724349157733537,0.02881844380403458,1.0
32270,0.975,0.982484076433121,0.9778129952456418,0.02981029810298103,1.0
33270,0.983,0.975767366720517,0.9966996699669967,0.03807106598984772,1.0
34270,0.971,0.9951768488745981,0.9596899224806201,0.008450704225352112,1.0
35270,0.98,0.9901960784313726,0.9774193548387097,0.015789473684210527,1.0
36270,0.973,0.9784283513097073,0.9799382716049383,0.03977272727272727,1.0
37270,0.97,0.9951534733441034,0.9580093312597201,0.008403361344537815,1.0
38270,0.979,0.9784283513097073,0.9890965732087228,0.03910614525139665,1.0
39270,0.973,0.9789983844911146,0.9774193548387097,0.034210526315789476,1.0
40270,0.977,0.9840255591054313,0.9793322734499205,0.026954177897574125,1.0
41270,0.984,0.9951690821256038,0.9793977812995246,0.008130081300813009,1.0
42270,0.981,0.996661101836394,0.9723127035830619,0.0051813471502590676,1.0
43270,0.982,0.990625,0.9814241486068112,0.01694915254237288,1.0
44270,0.977,0.9777777777777777,0.9856,0.037333333333333336,1.0
45270,0.978,0.9885807504078303,0.9758454106280193,0.018469656992084433,1.0
46270,0.973,0.984399375975039,0.9737654320987654,0.028409090909090908,1.0
47270,0.972,0.9872611464968153,0.96875,0.022222222222222223,1.0
48270,0.979,0.988562091503268,0.9773828756058158,0.01837270341207349,1.0
49270,0.986,0.9875776397515528,0.9906542056074766,0.0223463687150838,1.0
50270,0.975,0.9792,0.9807692307692307,0.034574468085106384,1.0
51270,0.981,0.9870967741935484,0.9823434991974318,0.021220159151193633,1.0
52270,0.981,0.99079754601227,0.9802731411229135,0.017595307917888565,1.0
53270,0.977,0.9821428571428571,0.9805510534846029,0.028720626631853787,1.0
54270,0.982,0.9873217115689382,0.9842022116903634,0.021798365122615803,1.0
55270,0.98,0.9894419306184012,0.9805680119581465,0.021148036253776436,1.0
56270,0.972,0.9760383386581469,0.9791666666666666,0.0398936170212766,1.0
57270,0.98,0.9967373572593801,0.9713831478537361,0.005390835579514825,1.0
58270,0.987,0.9951298701298701,0.9839486356340289,0.007957559681697613,1.0
59270,0.98,0.9891135303265941,0.9799691833590138,0.019943019943019943,1.0
